Item_Number,Set_Name,Theme,Pieces,Price
10859,My First Ladybird,DUPLO®,6,$4.99 
10860,My First Race Car,DUPLO®,6,$4.99 
10862,My First Celebration,DUPLO®,41,$14.99 
10864,Large Playground Brick Box,DUPLO®,71,$49.99 
10867,Farmers' Market,DUPLO®,26,$19.99 
10870,Farm Animals,DUPLO®,16,$9.99 
10872,Train Bridge and Tracks,DUPLO®,26,$24.99 
10875,Cargo Train,DUPLO®,105,$119.99 
10876,Spider-Man & Hulk Adventures,DUPLO®,38,$29.99 
10878,Rapunzel's Tower,DUPLO®,37,$29.99 
10882,Train Tracks,DUPLO®,23,$19.99 
10885,My First Fun Puzzle,DUPLO®,15,$19.99 
10886,My First Car Creations,DUPLO®,34,$19.99 
10901,Fire Truck,DUPLO®,21,$19.99 
10904,Baby Animals,DUPLO®,9,$9.99 
10906,Tropical Island,DUPLO®,73,$59.99 
10908,Plane,DUPLO®,12,$9.99 
10910,Submarine Adventure,DUPLO®,24,$19.99 
10915,Alphabet Truck,DUPLO®,36,$24.99 
10918,Tow Truck,DUPLO®,7,$6.99 
10921,Super Heroes Lab,DUPLO®,30,$29.99 
10926,Bedroom,DUPLO®,16,$14.99 
10927,Pizza Stand,DUPLO®,18,$9.99 
10928,Bakery,DUPLO®,46,$34.99 
10929,Modular Playhouse,DUPLO®,129,$59.99 
41330,Stephanie's Soccer Practice,Friends,119,$14.99 
41333,Olivia's Mission Vehicle,Friends,223,$19.99 
41335,Mia's Tree House,Friends,351,$29.99 
41340,Friendship House,Friends,722,$69.99 
41353,Friends Advent Calendar,Friends,500,$29.99 
41356,Stephanie's Heart Box,Friends,85,$7.99 
41358,Mia's Heart Box,Friends,83,$7.99 
41363,Mia's Forest Adventures ,Friends,134,$14.99 
41367,Stephanie's Obstacle Course,Friends,337,$39.99 
41369,Mia's House,Friends,715,$69.99 
41374,Andrea's Pool Party,Friends,468,$49.99 
41376,Turtles Rescue Mission,Friends,225,$19.99 
41378,Dolphins Rescue Mission,Friends,363,$39.99 
41384,Andrea's Summer Heart Box,Friends,83,$7.99 
41387,Olivia's Summer Heart Box,Friends,93,$7.99 
41394,Heartlake City Hospital,Friends,379,$49.99 
41396,Puppy Playground,Friends,57,$9.99 
41400,Andrea's Play Cube - Singer,Friends,49,$9.99 
41403,Mia's Play Cube - Veterinarian,Friends,40,$9.99 
41408,Mia's Play Cube - Cinema,Friends,37,$9.99 
41421,Baby Elephant Jungle Rescue,Friends,203,$19.99 
41423,Tiger Hot Air Balloon Jungle Rescue,Friends,302,$39.99 
41424,Jungle Rescue Base,Friends,648,$79.99 
41427,Emma's Fashion Shop,Friends,343,$29.99 
41428,Beach House,Friends,444,$49.99 
60170,Off-Road Chase,City,37,$6.99 
60171,Mountain Fugitives,City,88,$9.99 
60172,Dirt Road Pursuit,City,297,$39.99 
60182,Pickup & Caravan,City,344,$29.99 
60183,Heavy Cargo Transport,City,310,$29.99 
60184,Mining Team,City,82,$9.99 
60202,People Pack - Outdoor Adventures,City,164,$39.99 
60208,Parachute Arrest,City,218,$39.99 
60213,Dock Side Fire,City,97,$19.99 
60215,Fire Station,City,509,$69.99 
60217,Fire Plane,City,363,$59.99 
60219,Construction Loader,City,88,$9.99 
60221,Diving Yacht,City,148,$19.99 
60223,Harvester Transport,City,358,$29.99 
60226,Mars Research Shuttle,City,273,$39.99 
60243,Police Helicopter Chase,City,212,$39.99 
60245,Police Monster Truck Heist,City,362,$59.99 
60246,Police Station,City,743,$99.99 
60248,Fire Helicopter Response,City,93,$29.99 
60249,Street Sweeper,City,89,$9.99 
60251,Monster Truck,City,55,$9.99 
60252,Construction Bulldozer,City,126,$19.99 
60258,Tuning Workshop,City,897,$99.99 
60266,Ocean Exploration Ship,City,745,$149.99 
60267,Safari Off-Roader,City,168,$19.99 
